Grup_taxon;Nom_cat;Nom_cien;N_indi;N_obs;Data_obs;x;y
Aus;Abellerol;Merops apiaster;5;1;2017-04-01;2.06641;41.283635
Aus;Abellerol;Merops apiaster;5;1;2017-04-01;2.056556;41.287192
Aus;Abellerol;Merops apiaster;10;1;2017-04-01;2.06305606;41.27904951
Aus;Abellerol;Merops apiaster;1;1;2017-04-03;0.64522199;40.81870887
Aus;Abellerol;Merops apiaster;0;1;2017-04-04;2.245112738;41.59850573
Aus;Abellerol;Merops apiaster;0;1;2017-04-04;2.26183578;41.48307326
Aus;Abellerol;Merops apiaster;20;1;2017-04-04;2.042999;41.354824
Aus;Abellerol;Merops apiaster;1;1;2017-04-04;0.64522199;40.81870887
Aus;Abellerol;Merops apiaster;0;1;2017-04-04;0.857105255;40.93737755
Aus;Abellerol;Merops apiaster;3;1;2017-04-04;0.52237959;41.48489006
Aus;Abellerol;Merops apiaster;1;1;2017-04-04;0.69338598;41.47718749
Aus;Abellerol;Merops apiaster;0;1;2017-04-04;1.020619192;41.1709714
Aus;Abellerol;Merops apiaster;0;1;2017-04-04;1.81032942;41.30501638
Aus;Abellerol;Merops apiaster;5;1;2017-04-04;0.776225507;41.79046675
Aus;Abellerol;Merops apiaster;1;1;2017-04-04;0.9497236;41.68215179
Aus;Abellerol;Merops apiaster;5;1;2017-04-05;2.31194;41.5728
Aus;Abellerol;Merops apiaster;10;1;2017-04-05;2.02342943;41.4331253
Aus;Abellerol;Merops apiaster;5;1;2017-04-06;2.214367058;41.46900035
Aus;Abellerol;Merops apiaster;6;1;2017-04-06;2.03566323;41.41521387
Aus;Abellerol;Merops apiaster;3;1;2017-04-06;0.54443846;41.76251655
Aus;Abellerol;Merops apiaster;1;1;2017-04-06;3.027029301;42.35565083
Aus;Abellerol;Merops apiaster;6;1;2017-04-06;3.150158;42.406173
Aus;Abellerol;Merops apiaster;7;1;2017-04-07;2.93264882;41.83356504
Aus;Abellerol;Merops apiaster;2;1;2017-04-07;2.28523755;41.57015893
Aus;Abellerol;Merops apiaster;6;1;2017-04-07;0.53538454;41.22172599
Aus;Abellerol;Merops apiaster;1;1;2017-04-07;0.54730389;41.22198063
Aus;Abellerol;Merops apiaster;1;1;2017-04-07;0.53673565;41.18572807
Aus;Abellerol;Merops apiaster;2;1;2017-04-07;1.629871;41.260858
Aus;Abellerol;Merops apiaster;1;1;2017-04-07;1.77365685;41.34966828
Aus;Abellerol;Merops apiaster;2;1;2017-04-07;0.65423491;41.56645928
Aus;Abellerol;Merops apiaster;2;1;2017-04-07;0.719819069;41.51024842
Aus;Abellerol;Merops apiaster;2;1;2017-04-07;0.59565429;41.52922329
Aus;Abellerol;Merops apiaster;2;1;2017-04-07;2.11075957;42.04629982
Aus;Abellerol;Merops apiaster;24;1;2017-04-07;3.148231;42.407124
Aus;Abellerol;Merops apiaster;4;4;2017-04-08;2.12216594;41.30279995
Aus;Abellerol;Merops apiaster;3;3;2017-04-08;2.124567032;41.30456991
Aus;Abellerol;Merops apiaster;12;1;2017-04-08;0.6474478;40.75570286
Aus;Abellerol;Merops apiaster;1;1;2017-04-08;0.33701218;41.40644066
Aus;Abellerol;Merops apiaster;2;1;2017-04-08;0.936389;41.258333
Aus;Abellerol;Merops apiaster;0;1;2017-04-08;1.175773144;41.08329768
Aus;Abellerol;Merops apiaster;3;1;2017-04-08;1.0866165;41.0835888
Aus;Abellerol;Merops apiaster;4;1;2017-04-08;1.076638699;41.61844214
Aus;Abellerol;Merops apiaster;0;1;2017-04-08;1.101631;41.936314
