Grup_taxon;Nom_cat;Nom_cien;N_indi;N_obs;Data_obs;x;y
Aus;Aligot vesper;Pernis apivorus;1;1;2022-03-23;3.247118;42.248782
Aus;Aligot vesper;Pernis apivorus;2;1;2022-04-22;2.167845;41.37120888
Aus;Aligot vesper;Pernis apivorus;1;1;2022-04-22;0.72803023;41.51390332
Aus;Aligot vesper;Pernis apivorus;1;1;2022-04-23;3.226632;42.252541
Aus;Aligot vesper;Pernis apivorus;1;1;2022-04-24;1.84529899;42.02592322
Aus;Aligot vesper;Pernis apivorus;2;1;2022-04-24;2.26751845;42.07442658
Aus;Aligot vesper;Pernis apivorus;4;1;2022-04-25;2.17506;41.561899
Aus;Aligot vesper;Pernis apivorus;2;1;2022-04-30;1.39016123;41.38997757
Aus;Aligot vesper;Pernis apivorus;1;1;2022-04-30;2.604568;42.284981
Aus;Aligot vesper;Pernis apivorus;2;1;2022-05-01;2.663579;41.86076
Aus;Aligot vesper;Pernis apivorus;4;1;2022-05-01;1.694294;41.257267
Aus;Aligot vesper;Pernis apivorus;2;1;2022-05-01;2.26428526;42.353597
Aus;Aligot vesper;Pernis apivorus;1;1;2022-05-02;2.8238641;41.97755723
Aus;Aligot vesper;Pernis apivorus;3;1;2022-05-02;0.437951;41.401162
Aus;Aligot vesper;Pernis apivorus;1;1;2022-05-05;2.16773019;41.38021548
Aus;Aligot vesper;Pernis apivorus;400;1;2022-05-06;0.31571909;40.75746664
Aus;Aligot vesper;Pernis apivorus;600;1;2022-05-06;0.27985099;40.7656332
Aus;Aligot vesper;Pernis apivorus;24;1;2022-05-06;1.09783398;41.16033857
Aus;Aligot vesper;Pernis apivorus;3;1;2022-05-06;1.10974665;41.16053475
Aus;Aligot vesper;Pernis apivorus;10;1;2022-05-06;1.6963677;41.62803836
Aus;Aligot vesper;Pernis apivorus;1;1;2022-05-06;2.943539;42.450785
Aus;Aligot vesper;Pernis apivorus;1;1;2022-05-06;2.980197024;42.07835051
Aus;Aligot vesper;Pernis apivorus;30;2;2022-05-07;2.28680008;41.88510465
Aus;Aligot vesper;Pernis apivorus;3;1;2022-05-07;2.29309147;41.94849619
Aus;Aligot vesper;Pernis apivorus;1;1;2022-05-07;2.06490504;41.28168574
Aus;Aligot vesper;Pernis apivorus;53;3;2022-05-07;0.282987;40.654937
Aus;Aligot vesper;Pernis apivorus;70;1;2022-05-07;0.282998;40.654952
Aus;Aligot vesper;Pernis apivorus;1800;3;2022-05-07;0.37701341;40.70483412
Aus;Aligot vesper;Pernis apivorus;9;1;2022-05-07;0.294251;40.895352
Aus;Aligot vesper;Pernis apivorus;400;2;2022-05-07;0.29132043;40.77491018
Aus;Aligot vesper;Pernis apivorus;600;2;2022-05-07;0.27985099;40.7656332
Aus;Aligot vesper;Pernis apivorus;4;1;2022-05-07;0.69529902;41.42318671
Aus;Aligot vesper;Pernis apivorus;1;1;2022-05-07;1.175773144;41.08329768
Aus;Aligot vesper;Pernis apivorus;15;1;2022-05-07;1.160645485;41.10031035
Aus;Aligot vesper;Pernis apivorus;10;1;2022-05-07;1.09783398;41.16033857
Aus;Aligot vesper;Pernis apivorus;10;1;2022-05-07;1.16956233;41.15249389
Aus;Aligot vesper;Pernis apivorus;36;1;2022-05-07;1.144218625;41.14754745
Aus;Aligot vesper;Pernis apivorus;8;1;2022-05-07;1.296778598;41.42745018
Aus;Aligot vesper;Pernis apivorus;40;1;2022-05-07;1.289074467;41.424814
Aus;Aligot vesper;Pernis apivorus;45;1;2022-05-07;1.366085;41.542589
Aus;Aligot vesper;Pernis apivorus;6;1;2022-05-07;1.68326578;41.68193002
Aus;Aligot vesper;Pernis apivorus;98;1;2022-05-07;1.841001;41.790081
Aus;Aligot vesper;Pernis apivorus;98;1;2022-05-07;1.848322062;41.80158609
Aus;Aligot vesper;Pernis apivorus;2;2;2022-05-07;0.982566858;41.77646983
Aus;Aligot vesper;Pernis apivorus;1;1;2022-05-07;1.908466816;42.29250073
Aus;Aligot vesper;Pernis apivorus;1;1;2022-05-07;1.908459102;42.2930329
Aus;Aligot vesper;Pernis apivorus;1;1;2022-05-07;1.02147921;42.10473573
Aus;Aligot vesper;Pernis apivorus;7;1;2022-05-07;2.439849;42.207177
Aus;Aligot vesper;Pernis apivorus;2;1;2022-05-07;2.454823;42.367885
Aus;Aligot vesper;Pernis apivorus;2;1;2022-05-07;2.456047;42.36691
Aus;Aligot vesper;Pernis apivorus;5;1;2022-05-07;3.105053902;42.24119532
Aus;Aligot vesper;Pernis apivorus;2;1;2022-05-07;3.122445345;42.23567484
Aus;Aligot vesper;Pernis apivorus;10;1;2022-05-07;3.10998551;42.28853934
Aus;Aligot vesper;Pernis apivorus;2;1;2022-05-07;3.11720035;42.28078693
Aus;Aligot vesper;Pernis apivorus;15;1;2022-05-08;2.284360503;41.99635618
Aus;Aligot vesper;Pernis apivorus;1;1;2022-05-08;2.220727;41.922735
Aus;Aligot vesper;Pernis apivorus;1;1;2022-05-08;0.63289574;41.49397075
Aus;Aligot vesper;Pernis apivorus;6;1;2022-05-08;0.84563092;41.21894475
