Grup_taxon;Nom_cat;Nom_cien;N_indi;N_obs;Data_obs;x;y
Aus;Falciot negre;Apus apus;0;1;2017-03-19;2.17944;41.58806
Aus;Falciot negre;Apus apus;6;1;2017-03-19;2.059164;41.2849015
Aus;Falciot negre;Apus apus;20;1;2017-03-20;2.006469;41.306043
Aus;Falciot negre;Apus apus;70;1;2017-03-22;2.41651737;41.64295718
Aus;Falciot negre;Apus apus;1;1;2017-03-22;2.112042;41.543944
Aus;Falciot negre;Apus apus;150;1;2017-03-22;2.36866514;41.62469014
Aus;Falciot negre;Apus apus;12;1;2017-03-23;0.70570356;40.78389857
Aus;Falciot negre;Apus apus;6;1;2017-03-23;0.70508344;40.80190102
Aus;Falciot negre;Apus apus;0;1;2017-03-23;3.24744493;42.26562968
Aus;Falciot negre;Apus apus;0;1;2017-03-23;3.15076641;42.40088823
Aus;Falciot negre;Apus apus;0;1;2017-03-24;3.055615425;41.81287488
Aus;Falciot negre;Apus apus;1;1;2017-03-24;2.663025;41.860457
Aus;Falciot negre;Apus apus;8;1;2017-03-24;2.1870947;41.3884005
Aus;Falciot negre;Apus apus;5;1;2017-03-24;2.165529728;41.43288158
Aus;Falciot negre;Apus apus;7;1;2017-03-24;0.7053542;40.78716131
Aus;Falciot negre;Apus apus;20;1;2017-03-24;0.48678976;40.93245659
Aus;Falciot negre;Apus apus;0;1;2017-03-25;3.02898279;41.80656056
Aus;Falciot negre;Apus apus;1;1;2017-03-25;2.469827052;41.66638901
Aus;Falciot negre;Apus apus;1;1;2017-03-25;2.143241486;41.53056467
Aus;Falciot negre;Apus apus;3;1;2017-03-25;2.12299433;41.49796457
Aus;Falciot negre;Apus apus;5;3;2017-03-25;2.06451242;41.28242117
Aus;Falciot negre;Apus apus;5;8;2017-03-25;2.06752583;41.2779214
Aus;Falciot negre;Apus apus;0;1;2017-03-25;2.37666204;42.03904561
Aus;Falciot negre;Apus apus;1;1;2017-03-25;3.09852529;42.21206028
Aus;Falciot negre;Apus apus;1;1;2017-03-26;2.155124602;41.39229108
Aus;Falciot negre;Apus apus;8;2;2017-03-26;2.06451242;41.28242117
Aus;Falciot negre;Apus apus;0;1;2017-03-27;3.055615425;41.81287488
Aus;Falciot negre;Apus apus;0;1;2017-03-27;1.11000536;41.15153177
Aus;Falciot negre;Apus apus;1;1;2017-03-27;0.48822403;41.51791938
Aus;Falciot negre;Apus apus;2;1;2017-03-28;2.32178255;41.51633702
Aus;Falciot negre;Apus apus;2;1;2017-03-28;2.671501;41.621426
Aus;Falciot negre;Apus apus;1;1;2017-03-28;2.358;41.48952305
Aus;Falciot negre;Apus apus;0;1;2017-03-28;0.6932382;40.8016647
Aus;Falciot negre;Apus apus;1;1;2017-03-29;0.4949356;40.71646231
Aus;Falciot negre;Apus apus;4;1;2017-03-30;2.82282037;41.97524994
Aus;Falciot negre;Apus apus;12;1;2017-03-30;2.663568;41.860754
Aus;Falciot negre;Apus apus;0;1;2017-03-30;2.44277449;41.53923468
Aus;Falciot negre;Apus apus;13;1;2017-03-30;2.173528893;41.43991285
Aus;Falciot negre;Apus apus;4;1;2017-03-30;2.187685;41.389135
Aus;Falciot negre;Apus apus;3;1;2017-03-30;2.09610792;41.37066773
Aus;Falciot negre;Apus apus;10;1;2017-03-30;2.12412458;41.30193214
Aus;Falciot negre;Apus apus;3;1;2017-03-31;2.06401711;41.93785062
Aus;Falciot negre;Apus apus;1;1;2017-03-31;2.358;41.48952305
Aus;Falciot negre;Apus apus;3;1;2017-03-31;1.844158173;41.74823071
Aus;Falciot negre;Apus apus;1;1;2017-03-31;0.89217545;41.62510852
Aus;Falciot negre;Apus apus;30;1;2017-03-31;0.62862126;41.61096505
Aus;Falciot negre;Apus apus;24;1;2017-03-31;2.763672066;42.13209672
Aus;Falciot negre;Apus apus;3;1;2017-03-31;3.101859;42.24198
Aus;Falciot negre;Apus apus;0;1;2017-03-31;3.09852529;42.21206028
Aus;Falciot negre;Apus apus;8;1;2017-03-31;3.10185649;42.2118142
Aus;Falciot negre;Apus apus;2;1;2017-04-01;3.208675;41.956374
Aus;Falciot negre;Apus apus;7;1;2017-04-01;2.817197097;41.98617915
Aus;Falciot negre;Apus apus;1;1;2017-04-01;2.103034258;41.57123102
Aus;Falciot negre;Apus apus;1;1;2017-04-01;2.777292401;41.65009371
Aus;Falciot negre;Apus apus;1;1;2017-04-01;2.158419582;41.3617076
Aus;Falciot negre;Apus apus;0;2;2017-04-01;2.12244884;41.30397309
Aus;Falciot negre;Apus apus;0;1;2017-04-01;2.13093032;41.29764209
Aus;Falciot negre;Apus apus;0;1;2017-04-01;0.51926105;40.69897332
Aus;Falciot negre;Apus apus;15;1;2017-04-01;0.64522199;40.81870887
Aus;Falciot negre;Apus apus;8;1;2017-04-01;0.70570356;40.78389857
Aus;Falciot negre;Apus apus;0;2;2017-04-01;0.51553689;41.49935663
Aus;Falciot negre;Apus apus;40;1;2017-04-01;1.54840305;41.26598158
Aus;Falciot negre;Apus apus;13;1;2017-04-01;1.842226982;41.77652856
Aus;Falciot negre;Apus apus;1;1;2017-04-01;0.807602406;41.79350447
Aus;Falciot negre;Apus apus;4;1;2017-04-01;0.80238574;41.79454525
Aus;Falciot negre;Apus apus;6;1;2017-04-01;2.73848608;42.19354883
Aus;Falciot negre;Apus apus;0;1;2017-04-01;3.19387384;42.03488242
