Grup_taxon;Nom_cat;Nom_cien;N_indi;N_obs;Data_obs;x;y
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-03-27;2.750902;41.727985
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-03-29;1.85478598;41.49462035
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-03-30;2.268580198;41.93338822
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-03-30;1.60326767;41.49184056
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-03-31;2.134027;41.524663
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-03-31;2.063342;41.280436
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-01;2.834014;41.874737
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-01;2.244377;41.594064
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-01;2.06451242;41.28242117
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-01;3.105053902;42.24119532
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-02;3.030944467;41.80908843
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-02;3.027585;41.817512
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-02;2.24894485;41.59694899
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-02;2.1053438;41.56889984
Aus;Mastegatatxes;Ficedula hypoleuca;2;1;2022-04-02;2.33367361;41.52541378
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-02;2.332352;41.494001
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-02;2.312142;41.499404
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-02;2.312097;41.499112
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-02;2.117061;41.313145
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-02;2.11823731;41.31181165
Aus;Mastegatatxes;Ficedula hypoleuca;5;2;2022-04-02;2.12216594;41.30279995
Aus;Mastegatatxes;Ficedula hypoleuca;3;1;2022-04-02;2.06451242;41.28242117
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-02;2.063998;41.279733
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-02;2.063471;41.280004
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-02;1.93419149;41.76559273
Aus;Mastegatatxes;Ficedula hypoleuca;2;1;2022-04-02;0.99651856;41.74405871
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-02;1.8411122;42.06422088
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-02;2.958856;42.26351
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-03;2.16297777;41.74947379
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-03;2.23648;41.646087
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-03;2.249155285;41.6001715
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-03;2.245112738;41.59850573
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-03;2.24894485;41.59694899
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-03;2.174992561;41.56360532
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-03;2.16495905;41.59636962
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-03;2.329246;41.507425
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-03;2.66848841;41.67998841
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-03;2.129465;41.382402
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-03;2.047330141;41.30985278
Aus;Mastegatatxes;Ficedula hypoleuca;1;1;2022-04-03;1.612462;41.286107
