Grup_taxon;Nom_cat;Nom_cien;N_indi;N_obs;Data_obs;x;y
Aus;Oreneta cuablanca;Delichon urbicum;3;1;2022-01-05;1.98410511;41.27351685
Aus;Oreneta cuablanca;Delichon urbicum;1;1;2022-01-10;1.549230289;41.18539057
Aus;Oreneta cuablanca;Delichon urbicum;2;1;2022-01-15;2.912094;42.06775
Aus;Oreneta cuablanca;Delichon urbicum;1;1;2022-01-17;1.175773144;41.08329768
Aus;Oreneta cuablanca;Delichon urbicum;1;1;2022-01-31;1.989552469;41.27513049
Aus;Oreneta cuablanca;Delichon urbicum;2;1;2022-02-12;2.349722;41.627778
Aus;Oreneta cuablanca;Delichon urbicum;1;1;2022-02-15;2.198909;41.588872
Aus;Oreneta cuablanca;Delichon urbicum;1;1;2022-02-16;2.173492;41.55683
Aus;Oreneta cuablanca;Delichon urbicum;1;1;2022-02-19;1.903381;41.760889
Aus;Oreneta cuablanca;Delichon urbicum;2;2;2022-02-19;0.83513112;41.8942344
Aus;Oreneta cuablanca;Delichon urbicum;1;1;2022-02-23;1.633272171;41.25890422
Aus;Oreneta cuablanca;Delichon urbicum;18;1;2022-02-24;2.450163051;41.6577083
Aus;Oreneta cuablanca;Delichon urbicum;2;1;2022-02-25;0.5588885;41.23123365
Aus;Oreneta cuablanca;Delichon urbicum;1;1;2022-02-26;2.74145649;41.80201302
Aus;Oreneta cuablanca;Delichon urbicum;4;1;2022-02-26;2.245112738;41.59850573
Aus;Oreneta cuablanca;Delichon urbicum;4;1;2022-02-26;2.24894485;41.59694899
Aus;Oreneta cuablanca;Delichon urbicum;1;1;2022-02-26;2.015176;41.466286
Aus;Oreneta cuablanca;Delichon urbicum;0;1;2022-02-26;1.175773144;41.08329768
Aus;Oreneta cuablanca;Delichon urbicum;3;1;2022-02-26;1.902621081;41.76030998
Aus;Oreneta cuablanca;Delichon urbicum;1;1;2022-02-27;2.10559222;41.55088751
Aus;Oreneta cuablanca;Delichon urbicum;2;1;2022-02-27;0.58761532;40.77248166
Aus;Oreneta cuablanca;Delichon urbicum;2;1;2022-02-28;2.34456682;41.63356235
Aus;Oreneta cuablanca;Delichon urbicum;1;1;2022-02-28;2.28464104;41.62419795
Aus;Oreneta cuablanca;Delichon urbicum;2;1;2022-02-28;2.34465804;41.62455578
Aus;Oreneta cuablanca;Delichon urbicum;3;1;2022-02-28;1.842226982;41.77652856
Aus;Oreneta cuablanca;Delichon urbicum;1;1;2022-02-28;1.90351;41.761466
Aus;Oreneta cuablanca;Delichon urbicum;2;1;2022-03-01;2.210355;41.51279
Aus;Oreneta cuablanca;Delichon urbicum;2;1;2022-03-01;3.10312913;42.24194786
Aus;Oreneta cuablanca;Delichon urbicum;3;1;2022-03-02;2.664528;41.862309
Aus;Oreneta cuablanca;Delichon urbicum;1;1;2022-03-02;2.71591141;41.82422664
Aus;Oreneta cuablanca;Delichon urbicum;2;1;2022-03-02;2.72814321;41.77922187
Aus;Oreneta cuablanca;Delichon urbicum;3;1;2022-03-02;2.165131;41.626499
Aus;Oreneta cuablanca;Delichon urbicum;2;1;2022-03-02;2.100384697;41.55058562
Aus;Oreneta cuablanca;Delichon urbicum;8;1;2022-03-02;2.128264;41.525988
Aus;Oreneta cuablanca;Delichon urbicum;6;1;2022-03-02;2.235099;41.543159
Aus;Oreneta cuablanca;Delichon urbicum;4;1;2022-03-02;2.087836;41.474791
Aus;Oreneta cuablanca;Delichon urbicum;4;1;2022-03-02;2.03459553;41.48726312
Aus;Oreneta cuablanca;Delichon urbicum;1;1;2022-03-02;0.71523;40.813072
Aus;Oreneta cuablanca;Delichon urbicum;15;1;2022-03-02;1.813838482;41.76657452
Aus;Oreneta cuablanca;Delichon urbicum;1;1;2022-03-02;1.904356;41.752784
Aus;Oreneta cuablanca;Delichon urbicum;3;1;2022-03-02;1.988012;41.78883
Aus;Oreneta cuablanca;Delichon urbicum;2;1;2022-03-02;0.811177181;41.78828536
Aus;Oreneta cuablanca;Delichon urbicum;1;1;2022-03-02;2.697181576;42.19921323
Aus;Oreneta cuablanca;Delichon urbicum;10;1;2022-03-03;2.7978199;41.98404411
Aus;Oreneta cuablanca;Delichon urbicum;7;1;2022-03-03;2.29014449;41.99877954
Aus;Oreneta cuablanca;Delichon urbicum;5;1;2022-03-03;2.059436172;41.93427159
Aus;Oreneta cuablanca;Delichon urbicum;6;2;2022-03-03;2.2963505;41.65129142
Aus;Oreneta cuablanca;Delichon urbicum;2;1;2022-03-03;2.122036;41.535101
Aus;Oreneta cuablanca;Delichon urbicum;1;1;2022-03-03;2.20206107;41.50656141
Aus;Oreneta cuablanca;Delichon urbicum;3;1;2022-03-03;2.499257346;41.55804312
Aus;Oreneta cuablanca;Delichon urbicum;8;2;2022-03-03;2.777292401;41.65009371
Aus;Oreneta cuablanca;Delichon urbicum;1;1;2022-03-03;2.149666;41.493563
Aus;Oreneta cuablanca;Delichon urbicum;3;1;2022-03-03;2.078612944;41.38538473
Aus;Oreneta cuablanca;Delichon urbicum;6;1;2022-03-03;2.06153341;41.28031618
Aus;Oreneta cuablanca;Delichon urbicum;2;1;2022-03-03;1.17181236;41.07146359
Aus;Oreneta cuablanca;Delichon urbicum;6;1;2022-03-03;1.09783398;41.16033857
Aus;Oreneta cuablanca;Delichon urbicum;3;1;2022-03-03;1.636963;41.571828
Aus;Oreneta cuablanca;Delichon urbicum;2;1;2022-03-03;1.87483647;41.71999283
Aus;Oreneta cuablanca;Delichon urbicum;3;1;2022-03-03;1.89987801;41.7581784
Aus;Oreneta cuablanca;Delichon urbicum;2;1;2022-03-03;1.83338662;42.0167964
Aus;Oreneta cuablanca;Delichon urbicum;3;1;2022-03-03;2.450414;42.102084
Aus;Oreneta cuablanca;Delichon urbicum;1;1;2022-03-03;3.249121;42.253474
Aus;Oreneta cuablanca;Delichon urbicum;2;1;2022-03-04;3.19807299;41.98652808
Aus;Oreneta cuablanca;Delichon urbicum;4;1;2022-03-04;2.617997639;41.96565993
Aus;Oreneta cuablanca;Delichon urbicum;4;1;2022-03-04;2.283464588;41.92568942
Aus;Oreneta cuablanca;Delichon urbicum;12;1;2022-03-04;2.29014449;41.99877954
Aus;Oreneta cuablanca;Delichon urbicum;1;1;2022-03-04;2.35657202;41.63363018
Aus;Oreneta cuablanca;Delichon urbicum;10;1;2022-03-04;2.28394305;41.68724283
Aus;Oreneta cuablanca;Delichon urbicum;1;1;2022-03-04;2.117231;41.749915
Aus;Oreneta cuablanca;Delichon urbicum;12;1;2022-03-04;2.241934;41.60923
Aus;Oreneta cuablanca;Delichon urbicum;4;1;2022-03-04;2.245112738;41.59850573
Aus;Oreneta cuablanca;Delichon urbicum;2;1;2022-03-04;2.193387;41.562567
Aus;Oreneta cuablanca;Delichon urbicum;8;1;2022-03-04;2.139799;41.52071
Aus;Oreneta cuablanca;Delichon urbicum;7;1;2022-03-04;2.16542301;41.56034451
Aus;Oreneta cuablanca;Delichon urbicum;51;3;2022-03-04;2.27324429;41.57008374
Aus;Oreneta cuablanca;Delichon urbicum;2;1;2022-03-04;2.776669;41.650539
Aus;Oreneta cuablanca;Delichon urbicum;5;1;2022-03-04;2.149684;41.493443
Aus;Oreneta cuablanca;Delichon urbicum;5;1;2022-03-04;2.217113972;41.42794253
Aus;Oreneta cuablanca;Delichon urbicum;1;1;2022-03-04;0.6859185;40.65357946
