Grup_taxon;Nom_cat;Nom_cien;N_indi;N_obs;Data_obs;x;y
Aus;Oreneta vulgar;Hirundo rustica;4;1;2022-01-01;0.84977683;40.68693334
Aus;Oreneta vulgar;Hirundo rustica;4;1;2022-01-01;0.849775;40.687016
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-01-02;2.06451242;41.28242117
Aus;Oreneta vulgar;Hirundo rustica;2;2;2022-01-02;2.06490504;41.28168574
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-01-02;2.07334541;41.28941941
Aus;Oreneta vulgar;Hirundo rustica;6;2;2022-01-02;0.84977683;40.68693334
Aus;Oreneta vulgar;Hirundo rustica;6;1;2022-01-06;0.841180751;40.6891632
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-01-06;0.518932;40.802157
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-01-08;2.06451242;41.28242117
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-01-13;1.902621081;41.76030998
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-01-16;2.07334541;41.28941941
Aus;Oreneta vulgar;Hirundo rustica;3;1;2022-01-17;0.723563;40.750775
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-01-17;1.902621081;41.76030998
Aus;Oreneta vulgar;Hirundo rustica;2;2;2022-01-30;2.06451242;41.28242117
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-02-02;0.72065076;40.77858331
Aus;Oreneta vulgar;Hirundo rustica;0;1;2022-02-11;2.019616;41.374044
Aus;Oreneta vulgar;Hirundo rustica;2;2;2022-02-12;3.055615425;41.81287488
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-02-13;3.056678;41.812313
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-02-15;0.845561;40.687562
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-02-15;3.102894;42.208016
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-02-17;2.230711524;41.4178722
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-02-21;2.230711524;41.4178722
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-02-22;1.549230289;41.18539057
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-02-23;0.6859185;40.65357946
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-02-24;2.776628;41.654195
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-02-24;2.777292401;41.65009371
Aus;Oreneta vulgar;Hirundo rustica;2;2;2022-02-25;0.74073678;40.64434333
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-02-25;0.724609579;40.77224184
Aus;Oreneta vulgar;Hirundo rustica;5;1;2022-02-26;2.12412458;41.30193214
Aus;Oreneta vulgar;Hirundo rustica;0;1;2022-02-26;1.175773144;41.08329768
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-02-27;0.58761532;40.77248166
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-02-27;3.119678;42.239374
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-02-27;3.098080158;42.20940028
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-02-28;1.08565934;41.16914401
Aus;Oreneta vulgar;Hirundo rustica;5;1;2022-02-28;1.974264;41.267094
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-03-01;1.919171751;41.3367155
Aus;Oreneta vulgar;Hirundo rustica;2;1;2022-03-01;3.09580427;42.22327534
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-03-01;3.100885634;42.21390383
Aus;Oreneta vulgar;Hirundo rustica;2;1;2022-03-02;2.222035063;41.82129244
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-03-02;2.235099;41.543159
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-03-03;2.34456682;41.63356235
Aus;Oreneta vulgar;Hirundo rustica;2;2;2022-03-03;2.2963505;41.65129142
Aus;Oreneta vulgar;Hirundo rustica;2;2;2022-03-03;2.777292401;41.65009371
Aus;Oreneta vulgar;Hirundo rustica;2;1;2022-03-03;2.185894998;41.48881442
Aus;Oreneta vulgar;Hirundo rustica;2;1;2022-03-03;2.06153341;41.28031618
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-03-03;1.652768;41.197272
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-03-03;1.54760967;41.18553564
Aus;Oreneta vulgar;Hirundo rustica;6;1;2022-03-03;3.09580427;42.22327534
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-03-03;3.249121;42.253474
Aus;Oreneta vulgar;Hirundo rustica;2;1;2022-03-04;3.0650974;41.80654577
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-03-04;3.055615425;41.81287488
Aus;Oreneta vulgar;Hirundo rustica;2;1;2022-03-04;2.244751;41.597805
Aus;Oreneta vulgar;Hirundo rustica;2;1;2022-03-04;2.139799;41.52071
Aus;Oreneta vulgar;Hirundo rustica;2;1;2022-03-04;2.270043;41.569503
Aus;Oreneta vulgar;Hirundo rustica;2;1;2022-03-04;2.775105;41.650761
Aus;Oreneta vulgar;Hirundo rustica;1;1;2022-03-04;2.127074;41.404358
Aus;Oreneta vulgar;Hirundo rustica;6;1;2022-03-04;2.217113972;41.42794253
