name_month,x_UTM,y_UTM,N_indi
abellerol_4,421820.7484237472,4570664.2765126135,5
abellerol_4,420999.8509000164,4571068.0829035025,5
abellerol_4,421534.39194098744,4570158.234906453,10
abellerol_4,301409.6855085561,4521300.705142537,1
abellerol_4,437090.3657143938,4605475.488079345,0
abellerol_4,438374.5174166191,4592647.994670887,0
abellerol_4,419947.4427923657,4578588.856515201,20
abellerol_4,301409.6855085561,4521300.705142537,1
abellerol_4,319602.77736197377,4534016.387228641,0
abellerol_4,293154.86821027455,4595550.247134316,3
abellerol_4,307409.5798554277,4594299.935226803,1
abellerol_4,333957.48335348774,4559625.296457317,0
abellerol_4,400408.61337227764,4573300.196373014,0
abellerol_4,315224.07017179,4628902.6454491215,5
abellerol_4,329354.33885508205,4616517.714011036,1
abellerol_4,442636.79829901294,4602575.031307505,5
abellerol_4,418408.42145637004,4587300.053619745,10
abellerol_4,434397.38172882603,4591120.529287123,5
abellerol_4,419408.4107127027,4585300.074789352,6
abellerol_4,295874.6807657558,4626323.594154029,3
abellerol_4,502225.99442028976,4689265.310886021,1
abellerol_4,512356.3331119222,4694885.6688304115,6
abellerol_4,494407.62405306124,4631299.602951358,7
abellerol_4,440408.18796279037,4602299.900581606,2
abellerol_4,293409.7428492496,4566300.222179872,6
abellerol_4,294409.73218615516,4566300.221893114,1
abellerol_4,293409.7453497893,4562300.263688225,1
abellerol_4,385224.10886268434,4568620.562234382,2
abellerol_4,397408.6438447847,4578300.142161438,1
abellerol_4,304409.60495334625,4604299.82840296,2
abellerol_4,309713.5901562843,4597912.142052327,2
abellerol_4,299409.65972333855,4600299.867514107,2
abellerol_4,426408.3223959401,4655299.346302011,2
abellerol_4,512197.57817799645,4694990.986357471,24
abellerol_4,426511.3390707285,4572743.208064836,4
abellerol_4,426714.33249681845,4572937.673696586,3
abellerol_4,301409.6893847485,4514300.7807068005,12
abellerol_4,277409.8973592402,4587299.99064882,1
abellerol_4,327121.6070240133,4569488.654660603,2
abellerol_4,346769.4589689161,4549607.275944633,0
abellerol_4,339280.8553535958,4549800.181631492,3
abellerol_4,339760.16673925065,4609200.369139708,4
abellerol_4,342621.7994071059,4644448.014281161,0
abellerol_4,324409.394265263,4609299.787643624,1
abellerol_4,508407.479909626,4673299.169301422,1
abellerol_4,501407.551351599,4626299.655005587,2
abellerol_4,429408.3062738231,4584300.086820893,0
abellerol_4,319602.77736197377,4534016.387228641,0
abellerol_4,286409.8410362225,4527300.631619665,8
abellerol_4,339280.8553535958,4549800.181631492,2
abellerol_4,381062.6784673466,4577345.560004904,0
abellerol_4,325566.7542048757,4629482.992664321,2
abellerol_4,320409.4361189294,4609299.785196013,1
abellerol_4,311409.5295003088,4609299.780473541,3
abellerol_4,296147.69403267256,4599049.878629168,5
abellerol_4,515102.34518326004,4653924.834649083,1
abellerol_4,507549.05692199175,4687130.49655659,4
abellerol_4,308642.5658350836,4595367.924804539,0
abellerol_4,329409.3533593387,4586300.030628253,2
abellerol_4,394723.5430512311,4576714.938124283,5
abellerol_4,309409.5377161583,4631299.550164922,8
abellerol_4,331409.3156987685,4620299.6760612875,0
abellerol_4,329354.33885508205,4616517.714011036,0
abellerol_4,307933.5291643996,4601857.0324836355,0
abellerol_4,435408.24237002525,4591300.01509759,30
abellerol_4,421692.3905420611,4570449.231817338,0
abellerol_4,311409.54792220617,4575300.137547275,1
abellerol_4,292652.3082856292,4596911.703204724,0
abellerol_4,292509.9210415706,4567982.012873366,0
abellerol_4,391408.70838950144,4573300.193348218,1
abellerol_4,391408.7012485063,4595299.962120866,6
abellerol_4,326456.8803316838,4627604.9496450145,0
abellerol_4,311409.5295003088,4609299.780473541,8
abellerol_4,307409.56532311253,4619299.673525907,0
abellerol_4,436408.22234848747,4643299.472211358,5
abellerol_4,306389.6344901108,4517663.747539036,0
abellerol_4,292629.73200749827,4597172.896378909,2
abellerol_4,328409.36105019064,4592299.967297094,0
abellerol_4,326409.3935070961,4570300.197541124,2
abellerol_4,289979.8332729752,4543470.630227872,0
abellerol_4,385505.61975156923,4568399.1674689045,0
abellerol_4,387408.73076753074,4633299.563988792,0
abellerol_4,359579.31242304895,4632409.115644696,0
abellerol_4,292409.717025856,4625299.602823153,0
abellerol_4,292409.72456616163,4613299.727147218,0
abellerol_4,285957.7703101751,4597532.330613721,0
abellerol_4,509911.43582884327,4675651.126382754,5
abellerol_4,508132.48304658895,4673326.169247445,4
abellerol_4,518407.37891114125,4686299.035668914,4
abellerol_4,518976.51225186145,4679675.759904025,1
abellerol_4,444152.0748965875,4606785.864064877,1
abellerol_4,426511.3390707285,4572743.208064836,5
abellerol_4,427239.33149227063,4572163.214771886,1
abellerol_4,316369.9565600191,4506434.712723387,5
abellerol_4,306409.63143661333,4521300.70874105,11
abellerol_4,305409.64388773555,4519300.729557745,45
abellerol_4,321409.4376556893,4585300.037589128,0
abellerol_4,325409.40375576005,4570300.197911651,6
abellerol_4,333038.51320894423,4552075.837862745,0
abellerol_4,341941.3694497946,4610051.865550808,0
abellerol_4,355861.9488467509,4613911.342234695,0
abellerol_4,357409.04692679265,4619299.698060539,0
abellerol_4,355409.0676057706,4619299.697947096,0
abellerol_4,403408.5667475439,4626299.641772616,3
abellerol_4,328531.20627815125,4627889.3523418065,0
abellerol_4,320409.4361189294,4609299.785196013,0
abellerol_4,313409.5080763276,4610299.770766911,0
abellerol_4,311943.5181600328,4620015.669043559,2
abellerol_4,441521.1673839696,4653307.369970464,0
abellerol_4,435297.4332938202,4684721.695635763,8
abellerol_4,494407.62330844055,4680299.097191003,0
abellerol_4,470014.9249656642,4650793.709628955,2
abellerol_4,504018.76333379844,4669429.229019673,0
abellerol_4,501699.51044670335,4689797.709990863,1
abellerol_4,512929.1071103535,4692236.364115658,4
abellerol_4,423080.3581580591,4649757.402808812,0
abellerol_4,420408.39274209907,4619299.71919816,0
abellerol_4,420408.39775973273,4597299.949163875,8
abellerol_4,444973.1467129462,4597336.567819035,4
abellerol_4,441347.9485588457,4602566.9625124,2
abellerol_4,463407.9471877577,4608299.840421194,3
