Nom_cien,x_UTM,y_UTM
Apus_apus_06,492407.6451126725,4629299.623309282
Apus_apus_06,488407.68638107425,4634299.572144558
Apus_apus_06,441210.1715324958,4649884.405307642
Apus_apus_06,438550.98710709123,4649522.573505639
Apus_apus_06,422408.36682843586,4643299.470137377
Apus_apus_06,423408.35594734765,4643299.469621972
Apus_apus_06,438995.7873749884,4601952.180634548
Apus_apus_06,421283.77496667183,4585364.600094542
Apus_apus_06,421019.0767353908,4584945.205599328
Apus_apus_06,430408.29667551606,4582300.108850419
Apus_apus_06,424463.6355117638,4575927.661468982
Apus_apus_06,416408.4467321412,4569300.242912492
Apus_apus_06,307409.62210834597,4520300.720008937
Apus_apus_06,409165.40195130376,4569774.403560606
Apus_apus_06,409071.63297159853,4571439.54442815
Apus_apus_06,343409.21116912994,4578300.122337569
Apus_apus_06,340409.24164550647,4579300.109424593
Apus_apus_06,350409.12096455356,4615299.7369905235
Apus_apus_06,414594.61842957605,4599083.456423086
Apus_apus_06,407408.52664890804,4621299.694665503
Apus_apus_06,402408.58007768716,4617299.735343662
Apus_apus_06,361409.000549037,4630299.585107398
Apus_apus_06,361408.99912313215,4633299.554070437
Apus_apus_06,311409.5164735769,4632299.541354915
Apus_apus_06,318409.4464414647,4628299.585701297
Apus_apus_06,308878.5385985632,4608099.888401229
Apus_apus_06,505407.51026947465,4628299.634213762
Apus_apus_06,494407.6240500658,4630299.613007408
Apus_apus_06,441210.1715324958,4649884.405307642
Apus_apus_06,438550.98710709123,4649522.573505639
Apus_apus_06,453408.0529877738,4600299.923029094
Apus_apus_06,452408.06324387935,4601299.912674012
Apus_apus_06,467407.9055958988,4605299.87239987
Apus_apus_06,437994.160632658,4592708.363139748
Apus_apus_06,431408.2850630271,4586300.066410055
Apus_apus_06,432252.04945972643,4586487.032833171
Apus_apus_06,420254.91528474743,4573592.256497497
Apus_apus_06,416648.95790143457,4569648.798559319
Apus_apus_06,416408.4467321412,4569300.242912492
Apus_apus_06,306409.63312761596,4519300.729201433
Apus_apus_06,304409.6557166642,4517300.750396972
Apus_apus_06,281409.89381625067,4528300.617650106
Apus_apus_06,311409.54792220617,4575300.137547275
Apus_apus_06,362409.01170725405,4576300.151062268
Apus_apus_06,343409.20672818425,4587300.026717921
Apus_apus_06,362311.83031290036,4611299.749462862
Apus_apus_06,406408.5382808534,4617299.735797624
Apus_apus_06,403780.49587723217,4625612.651379704
Apus_apus_06,408582.3665583503,4627384.075213367
Apus_apus_06,329409.34487380146,4604299.842115896
Apus_apus_06,328409.35488328896,4604299.841480165
Apus_apus_06,334409.2563231002,4679299.068329995
Apus_apus_06,411800.0068490753,4698175.226459128
Apus_apus_06,505407.51026947465,4628299.634213762
Apus_apus_06,502407.5415524155,4628299.634403714
Apus_apus_06,504619.4069133547,4629001.771513875
Apus_apus_06,511407.4488369613,4648299.427186093
Apus_apus_06,485432.71585290995,4649096.418769981
Apus_apus_06,478521.78842247586,4627826.638829213
Apus_apus_06,440828.17744971067,4637265.536122749
Apus_apus_06,420408.3857951856,4649299.407810658
Apus_apus_06,438408.2101216634,4596299.9623889625
Apus_apus_06,443723.1544560054,4597860.946916914
Apus_apus_06,448179.33029389376,4603102.955536411
Apus_apus_06,458908.1230262286,4619898.978596726
Apus_apus_06,439365.20045693096,4593659.990412618
Apus_apus_06,425408.3483311246,4584300.086005089
Apus_apus_06,421283.77496667183,4585364.600094542
Apus_apus_06,421206.1904384909,4585293.58283359
Apus_apus_06,421019.0767353908,4584945.205599328
Apus_apus_06,432423.10706565314,4586178.790987667
Apus_apus_06,418408.42391070776,4574300.190412116
Apus_apus_06,424130.75887576654,4575843.4193166755
Apus_apus_06,416408.4467321412,4569300.242912492
Apus_apus_06,283409.8948805923,4494300.983914463
Apus_apus_06,308409.6169004648,4510300.827128282
Apus_apus_06,309409.6113200648,4501300.9246263355
Apus_apus_06,306409.63143661333,4521300.70874105
Apus_apus_06,319602.7773592071,4534016.386679609
Apus_apus_06,325409.40375576005,4570300.197911651
Apus_apus_06,325949.4144711904,4575286.844465007
Apus_apus_06,408960.7996526185,4571237.406632273
Apus_apus_06,385408.7632825093,4598299.927869934
Apus_apus_06,407408.52799921075,4617299.736780667
Apus_apus_06,403780.49587723217,4625612.651379704
Apus_apus_06,310409.5272899953,4632299.540729608
Apus_apus_06,309409.53771615826,4631299.550164922
Apus_apus_06,318409.4464414647,4628299.585701297
Apus_apus_06,285957.77033831656,4597532.330824035
Apus_apus_06,333409.2663096342,4679299.067290762
Apus_apus_06,416389.52116527397,4701053.184479367
Apus_apus_06,398408.5986862778,4695298.929167959
Apus_apus_06,395408.62936006085,4693298.948541395
Apus_apus_06,389499.89493638766,4676872.924402647
Apus_apus_06,434395.43387210777,4664700.103081382
Apus_apus_06,439408.18274339434,4690298.989942653
Apus_apus_06,440408.1726534675,4690298.990098304
Apus_apus_06,496442.7718697873,4679951.699387938
Apus_apus_06,479407.7771327117,4671299.189364515
Apus_apus_06,498966.81374143105,4659169.410848451
Apus_apus_06,515407.40741138795,4650299.405735099
Apus_apus_06,509407.4692481729,4657299.334064724
Apus_apus_06,509111.0097737057,4665099.821891238
Apus_apus_06,508407.4798085438,4666299.241099215
Apus_apus_06,501407.5516135792,4668299.22062809
Apus_apus_06,508508.4792775893,4676645.13459608
Apus_apus_06,508614.47783594986,4672886.173204514
Apus_apus_06,507754.7653479069,4673387.110441763
Apus_apus_06,508132.48304658895,4673326.169247445
Apus_apus_06,506407.50066849316,4678299.117462763
Apus_apus_06,505407.51026947465,4628299.634213762
Apus_apus_06,504619.4069133547,4629001.771513875
Apus_apus_06,494407.62405306124,4631299.602951358
Apus_apus_06,494407.6240500658,4630299.613007408
Apus_apus_06,441062.1738159362,4643196.474840237
Apus_apus_06,441210.1715324958,4649884.405307642
Apus_apus_06,430723.1297680149,4607238.1834084615
