name_month,x_UTM,y_UTM,N_indi
Apus_apus_3,431606.36244877946,4604365.737199571,0
Apus_apus_3,421215.48141608457,4570811.428814787,6
Apus_apus_3,416829.6683027878,4573207.655264259,20
Apus_apus_3,451408.07176094066,4610299.8182764705,70
Apus_apus_3,425938.323766018,4599523.487872652,1
Apus_apus_3,447408.1138801272,4608299.838621,150
Apus_apus_3,306409.6341055528,4517300.7512520505,12
Apus_apus_3,306409.6331276159,4519300.729201433,6
Apus_apus_3,520407.3581711379,4679299.107004533,0
Apus_apus_3,512407.43975919427,4694298.953923134,0
Apus_apus_3,504619.40690416645,4629001.771606574,0
Apus_apus_3,472031.6254456601,4634337.99866684,1
Apus_apus_3,432036.03216722596,4582193.438151165,8
Apus_apus_3,430280.62568108924,4587148.818141816,5
Apus_apus_3,306389.6344901108,4517663.747539036,7
Apus_apus_3,288409.8153130099,4534300.558290138,20
Apus_apus_3,502407.5415524155,4628299.634403714,0
Apus_apus_3,455863.67144839896,4612872.612815466,1
Apus_apus_3,428525.8654818758,4598011.817455123,1
Apus_apus_3,426800.0309154568,4594409.465968772,3
Apus_apus_3,421660.3905801407,4570531.231106391,5
Apus_apus_3,421907.3783110655,4570028.966593367,5
Apus_apus_3,448408.0966332239,4654299.361045637,0
Apus_apus_3,508132.48304658895,4673326.169247445,1
Apus_apus_3,429367.319189928,4582650.93289509,1
Apus_apus_3,421660.3905801407,4570531.231106391,8
Apus_apus_3,504619.40690416645,4629001.771606574,0
Apus_apus_3,341409.2414568092,4557300.343416931,0
Apus_apus_3,290409.7543597596,4599299.873052597,1
Apus_apus_3,443408.15801575535,4596299.96374146,2
Apus_apus_3,472633.8209777965,4607797.085119086,2
Apus_apus_3,446408.12705556466,4593299.995416119,1
Apus_apus_3,305409.64388773555,4519300.729557745,0
Apus_apus_3,288409.83099427994,4510300.8155814875,1
Apus_apus_3,485320.71727094037,4647043.439868461,4
Apus_apus_3,472076.8228266418,4634370.796757186,12
Apus_apus_3,453520.4063369224,4598769.920057374,0
Apus_apus_3,430956.40812713426,4587923.0146096395,13
Apus_apus_3,432086.14977480087,4582274.518370454,4
Apus_apus_3,424408.35956173367,4580300.128541727,3
Apus_apus_3,426674.3378863718,4572645.209937798,10
Apus_apus_3,422408.36682843586,4643299.470137377,3
Apus_apus_3,446408.12705556466,4593299.995416119,1
Apus_apus_3,403898.77458452666,4622468.671846328,3
Apus_apus_3,324409.3940590776,4610299.776736367,1
Apus_apus_3,302409.6230312142,4609299.77558908,30
Apus_apus_3,480468.4084068985,4664469.963937445,24
Apus_apus_3,508403.6852610731,4676648.577196493,3
Apus_apus_3,508132.48304658895,4673326.169247445,0
Apus_apus_3,508407.479909626,4673299.169301422,8
Apus_apus_4,517293.7705084177,4644953.553328477,2
Apus_apus_4,484857.42011718213,4648257.872947314,7
Apus_apus_4,425218.4737628186,4602560.707431739,1
Apus_apus_4,481455.18314531835,4610951.670650198,1
Apus_apus_4,429609.8181939849,4579252.925743608,1
Apus_apus_4,426536.3392718851,4572873.20713384,0
Apus_apus_4,427239.33149227063,4572163.214771886,0
Apus_apus_4,290409.8109269662,4508300.838239405,0
Apus_apus_4,301409.6855085561,4521300.705142537,15
Apus_apus_4,306409.6341055528,4517300.7512520505,8
Apus_apus_4,292629.73200749827,4597172.896378909,0
