name_month,x_UTM,y_UTM,N_indi
mastegatatxes_3,479282.66344384727,4619605.404129635,1
mastegatatxes_3,404408.5657404141,4594299.976433642,1
mastegatatxes_3,439362.2391757839,4642639.092284721,1
mastegatatxes_3,383408.78524507326,4594299.969989313,1
mastegatatxes_3,427750.5840494834,4597364.269495124,1
mastegatatxes_3,421559.9988936276,4570311.900325743,1
mastegatatxes_4,486226.5053161667,4635881.887048815,1
mastegatatxes_4,437024.73372951243,4604982.894109456,1
mastegatatxes_4,421660.3905801407,4570531.231106391,1
mastegatatxes_4,508667.38206375006,4676561.771344602,1
mastegatatxes_4,502570.3930346912,4628580.34830048,1
mastegatatxes_4,502291.0397012813,4629515.482105752,1
mastegatatxes_4,437408.2184012554,4605299.868842844,1
mastegatatxes_4,425408.3442724885,4602299.896990385,1
mastegatatxes_4,444408.14672393876,4597299.9529614,2
mastegatatxes_4,444270.9496911889,4593813.34835532,1
mastegatatxes_4,442588.76846200274,4594426.411530892,1
mastegatatxes_4,442584.7546592225,4594394.023531149,1
mastegatatxes_4,426095.6537238362,4573896.020852263,1
mastegatatxes_4,426192.6110082387,4573746.994910934,1
mastegatatxes_4,426511.3390707285,4572743.208064836,5
mastegatatxes_4,421660.3905801407,4570531.231106391,3
mastegatatxes_4,421614.0947388449,4570233.2631179625,1
mastegatatxes_4,421570.28483597335,4570263.824525556,1
mastegatatxes_4,411408.48460067523,4624299.663964975,1
mastegatatxes_4,333409.2939388283,4623299.646041909,2
mastegatatxes_4,404119.5510779262,4657556.317942835,1
mastegatatxes_4,496606.64607612573,4679034.931753272,1
mastegatatxes_4,430408.28841989365,4622299.689626726,1
mastegatatxes_4,436417.6995241095,4610764.418840504,1
mastegatatxes_4,437428.8687448364,4605657.4864425585,1
mastegatatxes_4,437090.3657143938,4605475.488079345,1
mastegatatxes_4,437408.2184012554,4605299.868842844,1
mastegatatxes_4,431209.72075002093,4601654.262822262,1
mastegatatxes_4,430408.291791445,4605299.866869966,1
mastegatatxes_4,444023.2497286012,4595305.688732871,1
mastegatatxes_4,472407.85289958597,4614299.778688271,1
mastegatatxes_4,427211.09310335625,4581574.2960641105,1
mastegatatxes_4,420254.91527661844,4573592.256271751,1
mastegatatxes_4,383810.5055505599,4571446.832748898,1
mastegatatxes_4,383408.7855943801,4593299.980264379,1
mastegatatxes_4,329354.33885508205,4616517.714011036,1
mastegatatxes_4,438001.203049138,4655384.348175869,3
mastegatatxes_4,483656.11028756324,4648256.708104169,1
mastegatatxes_4,431408.2830684002,4597299.951469907,1
mastegatatxes_4,436004.9075868212,4599067.754833133,1
mastegatatxes_4,400816.47306778835,4618433.882164901,1
mastegatatxes_4,406623.9836508841,4652013.471949309,1
mastegatatxes_4,438408.19900110847,4656299.338791194,1
mastegatatxes_4,508383.48034930497,4673485.166740952,1
mastegatatxes_4,516627.1555053261,4679919.8445188785,1
mastegatatxes_4,439362.2391757839,4642639.092284721,1
mastegatatxes_4,441210.1715324958,4649884.405307642,2
