name_month,x_UTM,y_UTM,N_indi
oreneta_c_2,445832.6762379126,4608654.384172272,2
oreneta_c_2,433229.9523327801,4604440.643026349,1
oreneta_c_2,431077.40180500026,4600903.251506018,1
oreneta_c_2,408840.77928061364,4623809.619796486,1
oreneta_c_2,320409.4196356031,4640299.462687591,2
oreneta_c_2,385505.61975156923,4568399.1674689045,1
oreneta_c_2,454220.5105422347,4611919.112317511,18
oreneta_c_2,295409.7213751484,4567300.21271496,2
oreneta_c_2,478521.78842247586,4627826.638829213,1
oreneta_c_2,437090.3657143938,4605475.488079345,4
oreneta_c_2,437408.2184012554,4605299.868842844,4
oreneta_c_2,417760.739072382,4590989.3740726905,1
oreneta_c_2,346769.4589689161,4549607.275944633,0
oreneta_c_2,408776.7880572213,4623746.138851431,3
oreneta_c_2,425408.3452498695,4600299.918091185,1
oreneta_c_2,296409.74136319186,4516300.756393056,2
oreneta_c_2,445408.1347111421,4609299.828041385,2
oreneta_c_2,440408.1869689677,4608299.837129688,1
oreneta_c_2,445408.1345207969,4608299.838135557,2
oreneta_c_2,403780.4958734397,4625612.651818501,3
oreneta_c_2,408852.3195201983,4623873.545411747,1
oreneta_c_3,434106.7519047995,4595985.119085252,2
oreneta_c_3,508508.4792775893,4676645.13459608,2
oreneta_c_3,472157.17557765293,4634543.131006716,3
oreneta_c_3,476407.8105598495,4630299.612819579,1
oreneta_c_3,477407.8006338119,4625299.6651650695,2
oreneta_c_3,430454.992359876,4608644.774339171,3
oreneta_c_3,424973.6957813217,4600270.911974824,2
oreneta_c_3,427271.2477155844,4597516.206735082,8
oreneta_c_3,436201.4151533868,4599338.146663339,6
oreneta_c_3,423838.3479382942,4591867.082732635,4
oreneta_c_3,419408.4087528826,4593299.990667883,4
oreneta_c_3,307297.9621285354,4520518.551675363,1
oreneta_c_3,401405.9196654234,4624539.639412631,15
oreneta_c_3,408910.3684264721,4622908.717400133,1
oreneta_c_3,415912.5390378025,4626825.579649536,3
oreneta_c_3,318122.2366744012,4628585.870338126,2
oreneta_c_3,474999.6603036675,4671939.403950388,1
oreneta_c_3,483251.7390180245,4648024.4297505515,10
oreneta_c_3,441210.1715324958,4649884.405307642,7
oreneta_c_3,422024.25003835576,4642906.249758905,5
oreneta_c_3,441408.17602416384,4611299.806871568,6
oreneta_c_3,426761.9217356589,4598533.204564765,2
oreneta_c_3,433408.26266817417,4595299.972439735,1
oreneta_c_3,458243.90452932427,4600829.19894231,3
oreneta_c_3,481455.18314531835,4610951.670650198,8
oreneta_c_3,429021.4179482729,4593898.564466636,1
oreneta_c_3,422962.62480330403,4581949.394160623,3
oreneta_c_3,421408.393803898,4570300.233573591,6
oreneta_c_3,346409.19269378524,4548300.440673651,2
oreneta_c_3,340409.25190350774,4558300.331579271,6
oreneta_c_3,386361.6462554584,4603135.577933552,3
oreneta_c_3,406408.53775716596,4619299.715216382,2
oreneta_c_3,408545.7313491012,4623512.389683041,3
oreneta_c_3,403408.55983649107,4652299.371903208,2
oreneta_c_3,454557.34299067553,4661256.719858677,3
oreneta_c_3,520549.5341377613,4677949.816135528,1
oreneta_c_3,516407.39693654235,4648299.426632024,2
oreneta_c_3,468346.4440855341,4646034.0580252465,4
oreneta_c_3,440589.08092150197,4641773.886163531,4
oreneta_c_3,441210.1715324958,4649884.405307642,12
oreneta_c_3,446408.1243754191,4609299.8285101075,1
oreneta_c_3,440408.1858738646,4615299.764190849,10
oreneta_c_3,426605.27877134876,4622386.688300352,1
oreneta_c_3,436835.91929468664,4606668.443830945,12
oreneta_c_3,437090.3657143938,4605475.488079345,4
oreneta_c_3,432742.4106383733,4601524.496887554,2
oreneta_c_3,428227.78687615314,4596920.59341747,8
oreneta_c_3,430408.2926413493,4601299.909290737,7
oreneta_c_3,439408.19847643975,4602299.899674466,51
oreneta_c_3,481403.40070353483,4611001.241997133,2
oreneta_c_3,429022.78944380285,4593885.227225786,5
oreneta_c_3,434585.5280536439,4586560.232819516,5
oreneta_c_3,304358.6643649161,4502876.905015216,1
oreneta_c_3,347409.1820853265,4549300.430948649,0
oreneta_c_3,340409.25190350774,4558300.331579271,10
oreneta_c_3,388408.73770546995,4579300.128771492,5
oreneta_c_3,362409.0126128465,4574300.172324062,3
oreneta_c_3,386068.976580582,4603038.258849598,0
oreneta_c_3,405920.4437481465,4598812.7650160855,0
oreneta_c_3,406408.5382808534,4617299.735797624,3
oreneta_c_3,401379.84333932714,4620174.668342411,2
oreneta_c_3,416468.2918882274,4627105.991630155,3
oreneta_c_3,404688.6490260642,4661639.72143883,2
oreneta_c_3,514407.41757246427,4652299.385106987,5
oreneta_c_3,516059.40106575255,4652306.385210892,6
oreneta_c_3,507859.9518585279,4673357.917138282,1
oreneta_c_3,508407.479909626,4673299.169301422,3
oreneta_c_3,505370.26232176437,4628311.545746865,2
oreneta_c_3,504619.40690416645,4629001.771606574,50
oreneta_c_3,437898.5013092432,4642486.002309967,1
oreneta_c_3,445408.1347111421,4609299.828041385,12
oreneta_c_3,446408.1243754191,4609299.8285101075,1
oreneta_c_3,440408.1862579607,4612299.795245099,10
oreneta_c_3,430408.29071959417,4608299.836050717,3
oreneta_c_3,425408.3452498695,4600299.918091185,7
oreneta_c_3,423408.36614410434,4600299.917755875,1
oreneta_c_3,428226.38282533747,4596905.284962389,8
oreneta_c_3,436408.2300703478,4599299.930668994,2
oreneta_c_3,433408.26266817417,4595299.972439735,30
oreneta_c_3,468407.89591313247,4605299.872178334,7
oreneta_c_3,481455.18314531835,4610951.670650198,1
oreneta_c_3,429020.8270926614,4593897.904089114,5
oreneta_c_3,385505.61975156923,4568399.1674689045,150
oreneta_c_3,357023.06558160065,4577898.148194129,4
oreneta_c_3,409408.51241807744,4597299.946367316,0
oreneta_c_3,328317.94109054643,4616243.75147498,0
oreneta_c_3,330409.32818446576,4616299.717401651,4
oreneta_c_3,326064.84708685736,4670386.500256618,12
oreneta_c_3,403408.55983649107,4652299.371903208,4
oreneta_c_3,440353.5981768442,4650087.368729625,3
oreneta_c_3,486407.7044615051,4690298.994585153,1
oreneta_c_3,469775.5762802788,4673286.465497604,6
oreneta_c_3,504619.40690416645,4629001.771606574,1
oreneta_c_3,500407.56174043263,4644299.468770567,2
oreneta_c_3,500755.26549961034,4644619.994882133,2
oreneta_c_3,487875.7441524762,4628729.69778221,25
oreneta_c_3,486312.97222589195,4635666.772354774,1
oreneta_c_3,478451.56054403284,4627665.083102867,5
oreneta_c_3,441210.1715324958,4649884.405307642,20
oreneta_c_3,446408.1243754191,4609299.8285101075,4
oreneta_c_3,437048.5803250746,4605650.4240468405,8
oreneta_c_3,424390.1748765692,4600439.014048313,1
oreneta_c_3,431260.73137554317,4594169.809044631,4
oreneta_c_3,368847.59960328526,4557204.666965207,5
oreneta_c_3,385505.61975156923,4568399.1674689045,40
oreneta_c_3,404408.5657404141,4594299.976433642,20
oreneta_c_3,337409.25919394207,4609299.793354105,0
oreneta_c_3,337409.25809368986,4610299.782932365,0
oreneta_c_3,386408.75119029044,4602299.887039472,0
oreneta_c_3,403898.77458452666,4622468.671846328,2
oreneta_c_3,329249.65038510645,4641772.097645314,2
oreneta_c_3,317599.7575264169,4628765.896514195,6
oreneta_c_3,329354.33885508205,4616517.714011036,0
oreneta_c_3,346096.5074469305,4721130.323632663,3
oreneta_c_3,403408.55983649107,4652299.371903208,1
oreneta_c_3,507740.0251246602,4674702.729933747,0
