name_month,x_UTM,y_UTM,N_indi
oreneta_v_2,307655.62105787743,4516677.758088902,1
oreneta_v_2,418015.5750745071,4580744.486476002,0
oreneta_v_2,504619.40690416645,4629001.771606574,2
oreneta_v_2,504707.70533216436,4628939.4464147,1
oreneta_v_2,317948.95647885883,4506306.39632975,1
oreneta_v_2,508493.62731776887,4672877.546766115,1
oreneta_v_2,435711.75568440976,4585432.051944386,1
oreneta_v_2,435711.75568440976,4585432.051944386,1
oreneta_v_2,378328.8085977232,4560351.97234246,1
oreneta_v_2,304358.6643649161,4502876.905015216,1
oreneta_v_2,481401.0383607958,4611407.148047367,1
oreneta_v_2,481455.18314531835,4610951.670650198,1
oreneta_v_2,308967.23235775775,4501730.971832741,2
oreneta_v_2,307971.44532592595,4515965.061771948,1
oreneta_v_2,426674.3378863718,4572645.209937798,5
oreneta_v_2,346769.4589689161,4549607.275944633,0
oreneta_v_2,296409.74136319186,4516300.756393056,1
oreneta_v_2,509874.2148461853,4676361.134437374,1
oreneta_v_2,508096.08059949486,4673030.779213107,1
oreneta_v_2,339409.2621006989,4559300.320933573,1
oreneta_v_2,414082.60773949046,4568915.001676735,5
oreneta_v_3,409564.16307351494,4576700.194577914,1
oreneta_v_3,507906.48524263076,4674571.15617817,2
oreneta_v_3,508327.06862085685,4673531.091938918,1
oreneta_v_3,435390.614408518,4630227.334388349,2
oreneta_v_3,436201.4151533868,4599338.146663339,1
oreneta_v_3,445408.1347111421,4609299.828041385,1
oreneta_v_3,441408.17602416384,4611299.806871568,2
oreneta_v_3,481455.18314531835,4610951.670650198,2
oreneta_v_3,432040.5665157834,4593342.27126879,2
oreneta_v_3,421408.393803898,4570300.233573591,2
oreneta_v_3,387032.8230804523,4561531.368525471,1
oreneta_v_3,378193.1576884097,4560370.345736174,1
oreneta_v_3,507906.48524263076,4674571.15617817,6
oreneta_v_3,520549.5341377613,4677949.816135528,1
oreneta_v_3,505407.51026947465,4628299.634213762,2
oreneta_v_3,504619.40690416645,4629001.771606574,1
oreneta_v_3,437059.5386790579,4605397.955248381,2
oreneta_v_3,428227.78687615314,4596920.59341747,2
oreneta_v_3,439140.7505182682,4602237.676437257,2
oreneta_v_3,481273.2318509568,4611026.227468116,2
